# 	 position 	 1deletion 	 2deletion 	 3deletion 	 4deletion 	 5to10deletions 
-1	0.6860950128051572	0.7510662103027078	0.7257739626451379	0.5786578840509572	1.3662838502099937
0	1.927297854642497	3.6663303884495138	2.9373987936601273	3.0622707679690704	3.666558221760518
1	0.9286206166695926	1.4275311416269414	1.556114108450537	1.6029924093270402	2.267694471294538
2	1.231358874994366	1.4806365055154487	1.557424869250594	1.5167575110617555	2.1437003840096818
3	0.9098325932230148	1.306277321405659	1.5846230403060537	1.733445049143003	2.237510110889364
4	1.0691474341172689	1.6674023221975174	1.2066371412928738	1.6889250075450855	2.5071454287071107
5	1.03857844791595	1.516073913572983	1.06427942990058	1.540323745143849	2.0617938369144384
6	1.2101286383527743	1.4395055465260858	0.9565067351718438	1.4334608417856716	2.2991679819804416
7	0.9538714741260407	1.0351750675574232	1.3054922712010157	1.2738651663308596	2.080238092557715
8	0.9100619663765751	1.1486054862716348	1.1459135846745334	1.436348550718414	1.9667826193113889
9	0.9564257659344022	1.3646808559314576	1.2935404785281661	1.4930677312247778	1.5721729133616118
10	0.7319085881129058	1.1053769380005503	0.9600432691000573	1.3946447321789635	1.5049136295144392
11	0.8881554167289196	0.9984782285856871	1.7078588699514294	1.2929841067558088	1.273460624919304
12	0.8626381081112825	1.3573394488963657	1.1391589162491231	1.2820537222433737	1.7301666143742278
13	0.766217461533515	1.0347758190535257	0.9742735081576602	0.8530809715124487	1.2124745255669453
14	0.9228739151796859	0.7808871918671622	0.9178927434145607	1.1514519507303302	1.2544759506930316
15	0.9354866436878692	1.1029125820674033	0.8836350852534087	1.1376429428548758	1.4896542837858702
16	0.7756262968637703	0.7452106503844779	1.212039808806675	1.7043786682735658	1.0553123559000692
17	0.8002508483147647	1.0116350399565994	1.0878303972886647	1.020447311023513	1.448761785223184
18	0.7425288517446725	0.7432678293901407	0.9747141560223724	1.0855532279741058	1.1154472148771613
19	0.9241603212231093	1.171909579403485	1.2535724411966587	1.0601128530525328	1.374965355297368
20	0.943084566432779	0.8477746938807166	1.0352708810259446	1.2729096664055095	0.974219254262908
21	0.7773780420919859	1.171678467039674	1.388115664878877	1.0744716116820794	1.2411721098741086
22	0.666879084896853	0.8322707571037524	1.0812010395867524	1.0749612563892417	1.0584577694505022
23	0.7909446079594905	0.9282053298018037	0.8669850856257092	1.4237595158535514	0.8795160857637618
24	0.8848812982241268	1.171679690852006	0.8395512926115895	0.9444116845005862	1.5357610249312592
25	0.829079196669618	1.0670872137896201	0.9052735375707184	0.7231536698713505	1.1372604080878164
26	1.0373549302072729	0.7895525177949084	0.9236006946952008	0.9156688603887848	0.8577962763494139
27	0.5486293259275256	0.8209127245913717	0.9671830915749929	1.0014951214570276	1.28850971100954
28	0.8067086458000328	1.0307329113197266	0.723966258323555	0.6105551485249097	1.1400924435432496
29	0.7027602484086057	1.0460837395162732	0.7379975665598202	0.8130962709148847	1.3022102613761766
30	0.7282610300063797	0.8556491821570474	0.8994339993627066	0.9301515582868237	1.5615369221071542
31	0.7072654158840374	1.1528351997078539	0.6619966497603842	0.7215923836407786	1.6383317856956445
32	0.7458494399535076	1.1944332530269943	0.9150419649594868	0.7744289917299602	0.9064394209132025
33	0.6295496643053874	1.0019570522956815	0.5478940440821709	0.7953408941285021	0.9675563857024525
34	0.9757059447376188	0.9491949820322263	0.7557479761799257	0.7729039774094645	0.9719013737040251
35	0.7578539361584927	0.7118056920747449	0.7052715395543583	0.8832258002136057	1.1822167011585338
36	0.7617860269730541	1.052669544045318	0.846065228584767	0.7001972545655385	1.3574101689405524
37	0.6295573284213061	0.8924741188610877	0.9550045639467759	0.8653116940461375	1.0154049894501627
38	0.65280051709638	0.5493381875466765	0.6182995861312927	0.5937256435717151	0.9565148323594731
39	0.6975576510710639	0.9996968380259669	0.6325432497093154	0.7522770014749361	1.119418603762906
40	0.796899379141869	0.7248286372093409	0.9200546033884355	0.7569652361304968	0.8867738874189464
41	0.5530908418660213	0.9436941983535472	0.5799922605124997	0.7599754796652495	1.044589301101317
42	0.613747963343421	0.7264061803982137	0.5411878266849053	0.6509226410163103	0.8170136188130371
43	0.752429821087834	1.0868721142191327	0.8859699357319438	0.7644217892254076	1.1112509425059707
