# position global 1dels 2dels 3dels 4dels 5dels
1 2.036343841847795 1.5928366998591241 2.1490286767910534 2.241617301963966 2.5608720465848744 2.7816585183742784 
2 1.693730064617794 1.2897531638398096 1.7804086623446687 1.8755243986599155 2.1425017575958663 2.3848782852549615 
3 1.5179875339074487 1.1427527656772483 1.6155726315756402 1.6767895728704876 1.879338712427466 2.191662720124227 
4 1.367650945872147 1.020522846054524 1.4592080085915897 1.5589030894714075 1.6818506335318062 2.062324533720742 
5 1.2442375662048923 0.9036673848922188 1.3198824035261383 1.4064775935185554 1.5615403690327252 1.9913873400510937 
6 1.1688813585511117 0.8482697067263293 1.2253631430616514 1.3294895452655153 1.4665642141204562 1.8633207588251532 
7 1.0985170224105185 0.7992674881483963 1.1820291981549758 1.2121652736671218 1.3700299291574065 1.686701253878299 
8 1.0417731632507663 0.7699660930602359 1.1093140730161946 1.1090940016961683 1.313778638517553 1.5714853662305963 
9 0.987175530721112 0.7325737440766363 1.0547871220997422 1.0337965194227074 1.258012163961443 1.479396990301851 
10 0.9491185892905329 0.7039309947762673 0.9898226298562712 1.0168351538197489 1.2403384976957526 1.3577360092276956 
11 0.9123221845214957 0.6828315661833695 0.9337724446533718 0.9551055624569624 1.191501746222982 1.3109337596371982 
12 0.8767463083678106 0.6556478310160244 0.8792196811322516 0.9485196540803007 1.1665618073240303 1.2181522004820962 
13 0.8508612329922496 0.6474100311726437 0.8528560206223902 0.903988917555848 1.140197525183938 1.1201008854460022 
14 0.8154457142001521 0.6270760141853293 0.8165342147877264 0.8760144775810396 1.1081299947662504 1.001852467097424 
15 0.7910182800269412 0.6057823105688339 0.8015034152914549 0.870845856930802 1.0577509475294538 1.0227625349385225 
16 0.7559541853871807 0.5796068082027239 0.7838662412928412 0.8347563298415461 0.9798081417340124 0.9599931237155388 
17 0.7236843401554672 0.5616190768761785 0.7479632197847791 0.8183914099616008 0.8972353410182423 0.9257568624581195 
18 0.6985894331603023 0.5487614339520909 0.7213144036455469 0.7928730344767548 0.8617119098495456 0.8441980808333952 
19 0.675509521245723 0.5248023213853408 0.704617880626113 0.7991194725690721 0.8386594566439437 0.8445884363863372 
20 0.6589105328407495 0.5161898506874882 0.685247447267225 0.7727741617748729 0.8266848726087243 0.8323770750081285 
21 0.6401092512006917 0.5014719003218606 0.6678076353921032 0.7400142479875438 0.7995012321269775 0.7956203147928136 
22 0.6231843231421673 0.4880347278636147 0.6528952738209911 0.7299342965558738 0.7483713866380336 0.7869833503045616 
23 0.6052018258057409 0.4734563177160798 0.6394936904263728 0.6963667851877187 0.7480540794766065 0.7947715474947744 
24 0.5874793586599603 0.455777459194546 0.6252097163786031 0.691033426995465 0.7313374799540158 0.797293023878464 
25 0.5747547079561365 0.44398691951798536 0.6149820152891744 0.6850790575901304 0.6976546273162963 0.8045340473612849 
26 0.5612553801487061 0.42707229474768216 0.6053029015635958 0.658222823367107 0.6908869181263029 0.8101380126090103 
27 0.5450117317218931 0.4159302791546849 0.5954009964446766 0.6202699918136481 0.6598212373060267 0.8132295177741091 
28 0.5309387974291722 0.410328227705227 0.582129324617662 0.5556541663665671 0.6400280208791427 0.78248951085181 
29 0.5218605519621784 0.40646616178525363 0.5643699413927195 0.5433398180541523 0.644281345296579 0.781567997818833 
30 0.5192224417006421 0.4037298101521167 0.5536253134680623 0.534162798332498 0.6468324044624062 0.7992089269300281 
31 0.5108345603337285 0.3928302184558973 0.551300987336277 0.5409562902721753 0.6284831376925128 0.788787960652935 
32 0.5065921628226924 0.38692888508748097 0.5373732731569214 0.5398601212329244 0.6379557012077712 0.7668180259848979 
33 0.49525090342678013 0.38272496229373254 0.511012001193403 0.5426744404680774 0.6275260806916589 0.7567346144880256 
34 0.4891333305498891 0.38159240514830234 0.4967670093082528 0.5437004420515165 0.6071255023327 0.7412347841116098 
35 0.4844370366498043 0.38201141468427097 0.49568519760892094 0.5361097671195862 0.5933339711769618 0.674764860975185 
36 0.4762300079851396 0.3741962754135979 0.49080358492733567 0.5340902677676939 0.5859545185294606 0.680026486954671 
37 0.4712296477373646 0.3689379553861596 0.49965520570014316 0.5329773168659887 0.5684452546926021 0.660771743211539 
38 0.46778792478767794 0.3619343618513082 0.49579564832919076 0.5396526616663083 0.5527695014382622 0.6605760257781753 
39 0.46097147691204715 0.36060512607536777 0.47717877717116425 0.5445613731747483 0.5416242610576906 0.6150290226389665 
40 0.4504407204171578 0.3513257084705216 0.4601252207013751 0.5284042727806648 0.5123059058216204 0.5989499341491804 
41 0.44654042995962495 0.34317583849908784 0.46827280166557883 0.5192518300593268 0.5130853343577086 0.5851032075231654 
42 0.44246151544783824 0.3370477332015236 0.4532941453108038 0.5098332407766271 0.5095928607319893 0.5906836798332384 
43 0.43866168920775744 0.333606075635688 0.44297396973804676 0.5135236247789522 0.5150564011359494 0.6217742411439451 
44 0.43082656371457545 0.3274527060203106 0.43388662329784017 0.49898983072261455 0.5131681377276747 0.617215785176771 
